,Time,BDEP,Validity_1,Frequency_1,Consistency_1,Uniqueness_1,Accuracy_1,BHT,Validity_2,Frequency_2,Consistency_2,Uniqueness_2,Accuracy_2,CTOR,Validity_3,Frequency_3,Consistency_3,Uniqueness_3,DEPT,Validity_4,Frequency_4,Consistency_4,Uniqueness_4,RPM,Validity_5,Frequency_5,Consistency_5,Uniqueness_5,Completeness
133,2023-04-15T12:02:13.0000000-05:00,8115.42,True,True,True,True,False,24.08,True,True,True,True,False,6.451,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
134,2023-04-15T12:02:14.0000000-05:00,8115.29,True,True,True,True,False,24.19,True,True,True,True,False,6.642,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
135,2023-04-15T12:02:15.0000000-05:00,8115.19,True,True,True,True,False,24.29,True,True,True,True,False,6.533,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
136,2023-04-15T12:02:16.0000000-05:00,8115.09,True,True,True,True,False,24.4,True,True,True,True,False,6.247,True,True,True,True,8121.13,True,True,True,False,25.01,True,True,True,True,True
137,2023-04-15T12:02:17.0000000-05:00,8114.99,True,True,True,True,False,24.51,True,True,True,True,False,6.608,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
138,2023-04-15T12:02:18.0000000-05:00,8114.86,True,True,True,True,False,24.62,True,True,True,True,False,6.56,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
139,2023-04-15T12:02:19.0000000-05:00,8114.76,True,True,True,True,False,24.73,True,True,True,True,False,6.431,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
140,2023-04-15T12:02:20.0000000-05:00,8114.67,True,True,True,True,False,24.83,True,True,True,True,False,6.39,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
141,2023-04-15T12:02:21.0000000-05:00,8114.53,True,True,True,True,False,24.94,True,True,True,True,False,6.757,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
142,2023-04-15T12:02:22.0000000-05:00,8114.44,True,True,True,True,False,25.05,True,True,True,True,False,6.254,True,True,True,True,8121.13,True,True,True,False,25.13,True,True,True,True,True
